"FullName","Name","Extension","SizeKB","Modified"
"C:\Users\jarek\Downloads\filex  mxml viewer player.zip","filex  mxml viewer player.zip",".zip","32.1","2026-04-12 17:59"
"C:\Users\jarek\Downloads\Gemini_Generated_Image_o0esn1o0esn1o0es.png","Gemini_Generated_Image_o0esn1o0esn1o0es.png",".png","7107.7","2026-04-09 22:21"
"C:\Users\jarek\Downloads\Gemini_Generated_Image_v0yxvlv0yxvlv0yx.png","Gemini_Generated_Image_v0yxvlv0yxvlv0yx.png",".png","5696.5","2026-04-09 22:20"
"C:\Users\jarek\Downloads\WhatsApp Image 2026-03-23 at 11.45.17.jpeg","WhatsApp Image 2026-03-23 at 11.45.17.jpeg",".jpeg","385.5","2026-04-01 08:44"
"C:\Users\jarek\Downloads\Wielkanoc Piechotki 2026.jpeg","Wielkanoc Piechotki 2026.jpeg",".jpeg","323.8","2026-04-05 18:47"
"C:\Users\jarek\Downloads\Wielkanoc Piechotki 2026a.jpeg","Wielkanoc Piechotki 2026a.jpeg",".jpeg","303.6","2026-04-05 18:51"
"C:\Users\jarek\Downloads\Xerox Scan_16042026085630.pdf","Xerox Scan_16042026085630.pdf",".pdf","37.2","2026-04-16 12:07"
"C:\Users\jarek\Downloads\Znajdz-zablokowane-pliki.ps1","Znajdz-zablokowane-pliki.ps1",".ps1","2.5","2026-03-23 21:32"
"C:\Users\jarek\Downloads\Equipment - Tascam DR-05X\DR-05X_OM_multi_RevE.pdf","DR-05X_OM_multi_RevE.pdf",".pdf","4082.9","2025-08-02 00:19"
"C:\Users\jarek\Downloads\Equipment - Tascam DR-05X\DR-05X_RM_RevF.pdf","DR-05X_RM_RevF.pdf",".pdf","1441.3","2025-08-02 00:18"
"C:\Users\jarek\Downloads\Equipment - Tascam DR-05X\DR-05X_v116.zip","DR-05X_v116.zip",".zip","1037.8","2025-08-02 00:22"
"C:\Users\jarek\Downloads\Equipment - Tascam DR-05X\DR-05X_v116_en.txt","DR-05X_v116_en.txt",".txt","3.8","2025-08-02 00:18"
"C:\Users\jarek\Downloads\Finance\2025-12-15.pdf","2025-12-15.pdf",".pdf","44.2","2025-12-18 21:14"
"C:\Users\jarek\Downloads\Finance\Account (1).xls","Account (1).xls",".xls","51","2025-06-15 20:22"
"C:\Users\jarek\Downloads\Finance\Account.csv","Account.csv",".csv","24.1","2025-06-15 20:22"
"C:\Users\jarek\Downloads\Finance\Account.pdf","Account.pdf",".pdf","140.1","2025-06-05 22:58"
"C:\Users\jarek\Downloads\Finance\Account.xls","Account.xls",".xls","70.5","2025-06-05 23:08"
"C:\Users\jarek\Downloads\Finance\degiro.csv","degiro.csv",".csv","13.8","2025-11-22 14:17"
"C:\Users\jarek\Downloads\Finance\e-Faktura.pdf","e-Faktura.pdf",".pdf","904","2026-01-05 22:44"
"C:\Users\jarek\Downloads\Finance\FAK_5413263000_FES_00026.pdf","FAK_5413263000_FES_00026.pdf",".pdf","612","2025-08-04 19:13"
"C:\Users\jarek\Downloads\Finance\Finanzinstrumente und Vermögensübersicht Q2 2025.pdf","Finanzinstrumente und Vermögensübersicht Q2 2025.pdf",".pdf","60.7","2025-09-02 22:00"
"C:\Users\jarek\Downloads\Finance\invoice.pdf","invoice.pdf",".pdf","100","2025-11-21 20:54"
"C:\Users\jarek\Downloads\Finance\Jahresübersicht 2025.pdf","Jahresübersicht 2025.pdf",".pdf","193.1","2026-03-17 18:33"
"C:\Users\jarek\Downloads\Finance\opened-positions-2025-01-01-2025-06-13.csv","opened-positions-2025-01-01-2025-06-13.csv",".csv","2.3","2025-06-15 20:20"
"C:\Users\jarek\Downloads\Finance\opened-positions-2025-04-01-2025-06-13.csv","opened-positions-2025-04-01-2025-06-13.csv",".csv","1.1","2025-06-15 20:17"
"C:\Users\jarek\Downloads\Finance\portfolio-value-including-cash-2025-01-01-2025-06-13.csv","portfolio-value-including-cash-2025-01-01-2025-06-13.csv",".csv","2.3","2025-06-15 20:20"
"C:\Users\jarek\Downloads\Finance\portfolio-value-including-cash-2025-04-01-2025-06-13.csv","portfolio-value-including-cash-2025-04-01-2025-06-13.csv",".csv","1.1","2025-06-15 20:17"
"C:\Users\jarek\Downloads\Finance\Portfolio.csv","Portfolio.csv",".csv","1.8","2025-11-28 23:32"
"C:\Users\jarek\Downloads\Finance\Premiuminvoice_22481720_2025-11-12.pdf","Premiuminvoice_22481720_2025-11-12.pdf",".pdf","272.3","2026-03-17 16:25"
"C:\Users\jarek\Downloads\Finance\Schreiben Tankst Brunner 09052025.pdf","Schreiben Tankst Brunner 09052025.pdf",".pdf","551.1","2025-06-30 20:44"
