Datum,Uhrze,Valutadatum,Produkt,ISIN,Beschreibung,FX,Änderung,,Saldo,,Order-ID
13-06-2025,10:30,13-06-2025,,,Auszahlung von Ihrem Geldkonto bei der flatexDEGIRO Bank: 1’712.81 CHF,,,,CHF,0.52,
13-06-2025,10:30,13-06-2025,,,Degiro Cash Sweep Transfer,,CHF,1712.81,CHF,1713.33,
13-06-2025,09:01,13-06-2025,ISHARES CORE CORP BOND UCITS ETF EUR,IE00B3F81R35,DEGIRO Transaktionsgebühren und/oder Fremdkosten,,CHF,-2.81,CHF,0.52,b49aa459-57d6-42e9-985b-2a2dd5ddf096
13-06-2025,09:01,13-06-2025,ISHARES CORE CORP BOND UCITS ETF EUR,IE00B3F81R35,Kauf 9 zu je 114 CHF (IE00B3F81R35),,CHF,-1026.00,CHF,3.33,b49aa459-57d6-42e9-985b-2a2dd5ddf096
13-06-2025,09:01,13-06-2025,ISHARES CORE CORP BOND UCITS ETF EUR,IE00B3F81R35,Kauf 6 zu je 114 CHF (IE00B3F81R35),,CHF,-684.00,CHF,1029.33,b49aa459-57d6-42e9-985b-2a2dd5ddf096
12-06-2025,16:20,12-06-2025,,,Auszahlung von Ihrem Geldkonto bei der flatexDEGIRO Bank: 1’406.78 CHF,,,,CHF,1713.33,
12-06-2025,16:20,12-06-2025,,,Degiro Cash Sweep Transfer,,CHF,1406.78,CHF,3120.11,
12-06-2025,15:45,12-06-2025,WISDOMTREE EUROPE DEFENCE UCITS ETF,IE0002Y8CX98,Währungswechsel (Einbuchung),1.0600,EUR,1488.25,EUR,0.00,e2ac8417-b920-4a79-9d12-0074de3152a6
12-06-2025,15:45,12-06-2025,WISDOMTREE EUROPE DEFENCE UCITS ETF,IE0002Y8CX98,Währungswechsel (Ausbuchung),,CHF,-1403.95,CHF,1713.33,e2ac8417-b920-4a79-9d12-0074de3152a6
12-06-2025,15:45,12-06-2025,WISDOMTREE EUROPE DEFENCE UCITS ETF,IE0002Y8CX98,DEGIRO Transaktionsgebühren und/oder Fremdkosten,,CHF,-2.83,CHF,3117.28,e2ac8417-b920-4a79-9d12-0074de3152a6
12-06-2025,15:45,12-06-2025,WISDOMTREE EUROPE DEFENCE UCITS ETF,IE0002Y8CX98,Kauf 50 zu je 29.765 EUR (IE0002Y8CX98),,EUR,-1488.25,EUR,-1488.25,e2ac8417-b920-4a79-9d12-0074de3152a6
12-06-2025,09:45,12-06-2025,,,Überweisung auf Ihr Geldkonto bei der flatexDEGIRO Bank: 3’000 CHF,,,,CHF,3120.11,
12-06-2025,09:45,12-06-2025,,,Degiro Cash Sweep Transfer,,CHF,-3000.00,CHF,120.11,
12-06-2025,08:36,11-06-2025,,,Einzahlung,,CHF,3000.00,CHF,3120.11,
04-06-2025,10:30,04-06-2025,,,Degiro Cash Sweep Transfer,,CHF,1622.31,CHF,120.11,
04-06-2025,10:30,04-06-2025,,,Auszahlung von Ihrem Geldkonto bei der flatexDEGIRO Bank: 1’622.31 CHF,,,,CHF,-1502.20,
04-06-2025,09:04,04-06-2025,XTRACKERS II EUROZONE GOV BOND 1-3,LU0290356871,Währungswechsel (Einbuchung),1.0654,EUR,1725.35,EUR,0.00,11a4a317-ced9-4fdc-8e47-109610ecb04d
04-06-2025,09:04,04-06-2025,XTRACKERS II EUROZONE GOV BOND 1-3,LU0290356871,Währungswechsel (Ausbuchung),,CHF,-1619.49,CHF,120.11,11a4a317-ced9-4fdc-8e47-109610ecb04d
04-06-2025,09:04,04-06-2025,XTRACKERS II EUROZONE GOV BOND 1-3,LU0290356871,DEGIRO Transaktionsgebühren und/oder Fremdkosten,,CHF,-2.82,CHF,1739.60,11a4a317-ced9-4fdc-8e47-109610ecb04d
04-06-2025,09:04,04-06-2025,XTRACKERS II EUROZONE GOV BOND 1-3,LU0290356871,Kauf 10 zu je 172.535 EUR (LU0290356871),,EUR,-1725.35,EUR,-1725.35,11a4a317-ced9-4fdc-8e47-109610ecb04d
02-06-2025,10:31,02-06-2025,,,Degiro Cash Sweep Transfer,,CHF,2029.72,CHF,1742.42,
02-06-2025,10:31,02-06-2025,,,Auszahlung von Ihrem Geldkonto bei der flatexDEGIRO Bank: 2’029.72 CHF,,,,CHF,-287.30,
02-06-2025,09:04,02-06-2025,ISHARES EURO DIVIDEND UCITS ETF EUR,IE00B0M62S72,Währungswechsel (Einbuchung),1.0671,EUR,1112.00,EUR,0.00,fa17553a-7d6e-4ae8-9ec1-9f45edb6bb69
02-06-2025,09:04,02-06-2025,ISHARES EURO DIVIDEND UCITS ETF EUR,IE00B0M62S72,Währungswechsel (Ausbuchung),,CHF,-1042.10,CHF,1742.42,fa17553a-7d6e-4ae8-9ec1-9f45edb6bb69
02-06-2025,09:04,02-06-2025,ISHARES EURO DIVIDEND UCITS ETF EUR,IE00B0M62S72,DEGIRO Transaktionsgebühren und/oder Fremdkosten,,CHF,-2.81,CHF,2784.52,fa17553a-7d6e-4ae8-9ec1-9f45edb6bb69
02-06-2025,09:04,02-06-2025,ISHARES EURO DIVIDEND UCITS ETF EUR,IE00B0M62S72,Kauf 50 zu je 22.24 EUR (IE00B0M62S72),,EUR,-1112.00,EUR,-1112.00,fa17553a-7d6e-4ae8-9ec1-9f45edb6bb69
02-06-2025,09:00,02-06-2025,ISHARES CORE CHF CORPORATE BOND ETF,CH0226976816,DEGIRO Transaktionsgebühren und/oder Fremdkosten,,CHF,-2.81,CHF,2787.33,fa891037-c6ed-41bf-82b4-41ebdec5a5bf
02-06-2025,09:00,02-06-2025,ISHARES CORE CHF CORPORATE BOND ETF,CH0226976816,Kauf 10 zu je 98.2 CHF (CH0226976816),,CHF,-982.00,CHF,2790.14,fa891037-c6ed-41bf-82b4-41ebdec5a5bf
30-05-2025,07:33,30-05-2025,,,Degiro Cash Sweep Transfer,,CHF,-28.87,CHF,3772.14,
30-05-2025,07:33,30-05-2025,,,Überweisung auf Ihr Geldkonto bei der flatexDEGIRO Bank: 28.87 CHF,,,,CHF,3801.01,
30-05-2025,06:31,29-05-2025,,,Währungswechsel (Einbuchung),,CHF,28.87,CHF,3772.14,
30-05-2025,06:31,29-05-2025,,,Währungswechsel (Ausbuchung),1.0717,EUR,-30.94,EUR,0.00,
29-05-2025,07:24,28-05-2025,PORSCHE AUTOMOBIL HOLDING SE,DE000PAH0038,Dividende,,EUR,42.02,EUR,30.94,
29-05-2025,07:24,28-05-2025,PORSCHE AUTOMOBIL HOLDING SE,DE000PAH0038,Dividendensteuer,,EUR,-11.08,EUR,-11.08,
21-05-2025,07:30,21-05-2025,,,Überweisung auf Ihr Geldkonto bei der flatexDEGIRO Bank: 44.42 CHF,,,,CHF,3743.27,
