Datum,Uhrzeit,Produkt,ISIN,Referenzbörse,Ausführungsort,Anzahl,Kurs,,Wert in Lokalwährung,,Wert,,Wechselkurs,Transaktionsgebühren,,Gesamt,,Order-ID
05-11-2025,07:36,ISHARES GLOBAL CLEAN ENERGY UCITS ETF USD (DIST),IE000U58J0M1,TDG,XGAT,100,21.9600,EUR,-2196.00,EUR,-2041.19,CHF,1.08,-0.93,CHF,-2042.12,CHF,b40bc5a8-25aa-403b-85b2-96620106a7b0
04-11-2025,15:38,VANECK RARE EARTH AND STRATEGIC METALS UCITS ETF,IE0002PG6CA6,SWX,XSWX,100,10.0000,CHF,-1000.00,CHF,-1000.00,CHF,,-2.79,CHF,-1002.79,CHF,d3649e1b-1b49-41cd-8821-36cbf8a07905
04-11-2025,09:00,L&G ETFS BATTERY VALUE-CHAIN GO UCITS ETF (LGIM ETF MANAGERS LIMITED),IE00BF0M2Z96,SWX,XSWX,100,21.9050,CHF,-2190.50,CHF,-2190.50,CHF,,-2.80,CHF,-2193.30,CHF,373c7c8f-0ae5-499c-b958-ef93bc6c51a6
07-10-2025,21:13,ZKB SILVER ETF,CH0183135976,TDG,XGAT,10,117.6473,EUR,-1176.47,EUR,-1094.60,CHF,1.07,-0.93,CHF,-1095.53,CHF,cdc3a101-93ca-4c93-8f66-ca1dd1eac06b
02-10-2025,12:33,HSBC EURO STOXX 50 UCITS ETF,IE00B4K6B022,XET,XETA,50,59.3700,EUR,-2968.50,EUR,-2775.56,CHF,1.07,-2.81,CHF,-2778.37,CHF,92a56bcb-9aff-4dde-877c-bd61961d56b9
02-10-2025,12:32,VANECK DEFENSE UCITS ETF,IE000YYE6WK5,XET,XETA,100,56.3900,EUR,-5639.00,EUR,-5273.06,CHF,1.07,-2.81,CHF,-5275.87,CHF,51653666-2dd3-47bc-8735-c437a7bba702
10-09-2025,09:09,XTRACKERS ARTIFICIAL INTELLIGENCE & BIG DATA UCITS ETF 1C,IE00BGV5VN51,XET,XETA,-100,145.6200,EUR,14562.00,EUR,13586.43,CHF,1.07,-2.81,CHF,13583.62,CHF,97d3d8e2-0c13-4853-b595-803b568705f8
10-09-2025,09:04,HSBC EURO STOXX 50 UCITS ETF,IE00B4K6B022,XET,XETA,40,56.5300,EUR,-2261.20,EUR,-2109.49,CHF,1.07,-2.81,CHF,-2112.30,CHF,30ddac6c-30e6-4c45-b344-e0f3c93f71b3
08-07-2025,09:04,XTRACKERS DAX UCITS ETF 1C,LU0274211480,XET,XETA,9,226.0000,EUR,-2034.00,EUR,-1903.02,CHF,1.07,-2.81,CHF,-1905.83,CHF,b5e2eb31-cb7b-4bf0-ac4b-66ec97ffbf28
13-06-2025,09:01,BLACKROCK ISHARES CORE EURO CORPORATE BOND UCITS ETF (BLACKROCK ASSET MANAGEMENT IRELAND LIMITED),IE00B3F81R35,SWX,XSWX,15,114.0000,CHF,-1710.00,CHF,-1710.00,CHF,,-2.81,CHF,-1712.81,CHF,b49aa459-57d6-42e9-985b-2a2dd5ddf096
12-06-2025,15:45,WISDOMTREE MANAGEMENT LTD.,IE0002Y8CX98,XET,XETA,50,29.7650,EUR,-1488.25,EUR,-1400.45,CHF,1.06,-2.83,CHF,-1403.28,CHF,e2ac8417-b920-4a79-9d12-0074de3152a6
04-06-2025,09:04,XTRACKERS II EUROZONE GOV BOND 1-3 UCITS ETF 1C,LU0290356871,XET,XETA,10,172.5350,EUR,-1725.35,EUR,-1615.46,CHF,1.07,-2.82,CHF,-1618.28,CHF,11a4a317-ced9-4fdc-8e47-109610ecb04d
02-06-2025,09:04,ISHARES EURO DIVIDEND UCITS ETF EUR (DIST),IE00B0M62S72,XET,XETA,50,22.2400,EUR,-1112.00,EUR,-1039.50,CHF,1.07,-2.81,CHF,-1042.31,CHF,fa17553a-7d6e-4ae8-9ec1-9f45edb6bb69
