Udziały;Nazwa;Symbol;Kurs;Wartość rynkowa;Udział w %;Notatka;Data notowania;Zysk/strata;Wartość zakupu;Cena zakupu;∑Div 1 year
"";Suma;;;68.087,40;100,00;;;12.815,86;55.154,43;;0,00
"";Stock (8);;;33.666,57;49,45;;;6.151,09;27.515,48;;0,00
30;NOVO-NORDISK B ADR/1DK 10;NOVA.TG;EUR 42,50;1.191,36;1,75;;2025-08-04;-2.027,46;3.218,82;106,65;0,00
15;Rheinmetall AG;RHM.DE;EUR 1.765,00;24.738,24;36,33;;2025-08-04;9.218,45;15.519,79;1.031,45;0,00
5;Airbus SE;AIR.DE;EUR 169,16;790,32;1,16;;2025-08-01;110,91;679,41;134,62;0,00
8;ASML Holding N.V.;ASME.DE;EUR 595,20;4.449,24;6,53;;2025-08-01;-131,53;4.580,77;570,02;0,00
5;BAY.MOTOREN WERKE AG ST;BMW.DE;EUR 82,10;383,57;0,56;;2025-08-01;-76,61;460,18;91,11;0,00
10;BAY.MOTOREN WERKE  VZO;BMW3.DE;EUR 76,30;712,95;1,05;;2025-08-01;-164,16;877,11;87,14;0,00
15;Mercedes-Benz Group AG;MBG.DE;EUR 49,10;688,19;1,01;;2025-08-01;-395,54;1.083,73;71,75;0,00
22;PORSCHE AUTOM.HLDG VZO;PAH3.DE;EUR 34,67;712,70;1,05;;2025-08-01;-382,97;1.095,67;49,25;0,00
"";Exchange Traded Fund (ETF) (12);;;34.303,72;50,38;;;6.664,77;27.638,95;;0,00
18;Xetra-Gold;4GLD.DE;EUR 93,82;1.577,98;2,32;;2025-08-04;584,07;993,91;54,96;0,00
50;iShares Euro Dividend UCITS ETF EUR (Dist);IQQA.DE;EUR 21,82;1.019,43;1,50;;2025-08-01;-25,48;1.044,91;20,79;0,00
150;VanEck Defense UCITS ETF;DFEN.DE;EUR 49,175;6.892,37;10,12;;2025-08-01;2.758,03;4.134,34;27,40;0,00
70;VanEck Semiconductor UCITS ETF;VVSM.DE;EUR 40,805;2.668,97;3,92;;2025-08-01;994,13;1.674,84;23,84;0,00
35;WisdomTree Physical Silver;VZLC.DE;EUR 29,232;956,00;1,40;;2025-08-01;349,97;606,03;17,32;0,00
50;WT EUROPE DEFENCE UCITS ETF;EUDF.DE;EUR 29,66;1.385,72;2,04;;2025-08-01;-21,06;1.406,78;28,01;0,00
100;Xtrackers Artificial Intelligence & Big Data UCITS ETF;XAIX.DE;EUR 137,74;12.870,43;18,90;;2025-08-01;1.877,11;10.993,32;109,60;0,00
9;Xtrackers DAX UCITS ETF 1C;DBXD.DE;EUR 219,60;1.846,75;2,71;;2025-08-01;-63,84;1.910,59;211,45;0,00
10;Xtrackers II Eurozone Government Bond 1-3 UCITS ETF 1C;DBXP.DE;EUR 172,655;1.613,29;2,37;;2025-08-01;-9,03;1.622,32;161,55;0,00
10;iShares Core CHF Corporate Bond ETF (CH);CHCORP.SW;97,288;972,88;1,43;;2025-07-31;-11,93;984,81;98,20;0,00
15;ISHARES CORE EURO CORP BOND;IEAC.SW;111,70;1.675,50;2,46;;2025-07-31;-37,31;1.712,81;114,00;0,00
4;UBS ETF (CH) a SLI (CHF) A-dis;SLICHA.SW;206,10;824,40;1,21;;2025-07-31;270,11;554,29;138,00;0,00
"";Currency (1);;;117,11;0,17;;;0,00;0,00;;0,00
"";cash Degiro;;;117,11;0,17;;;;;;
"";Suma;;;68.087,40;100,00;;;12.815,86;55.154,43;;0,00
