Day,Value of opened positions 
2025-04-01,48723.76
2025-04-02,48096.9
2025-04-03,47108.22
2025-04-04,44381.71
2025-04-07,43219.91
2025-04-08,44568.5
2025-04-09,44049.15
2025-04-10,45179.62
2025-04-11,45033.16
2025-04-14,46736.05
2025-04-15,48042.83
2025-04-16,47446.67
2025-04-17,49558.44
2025-04-18,49498.84
2025-04-21,49562.37
2025-04-22,49098.78
2025-04-23,49649.46
2025-04-24,50239.87
2025-04-25,50336.08
2025-04-28,50161.92
2025-04-29,52109.89
2025-04-30,52715.73
2025-05-01,52730.3
2025-05-02,54703.63
2025-05-05,55344.2
2025-05-06,55578.73
2025-05-07,55184.13
2025-05-08,56994.94
2025-05-09,56887.85
2025-05-12,56591.85
2025-05-13,57290.16
2025-05-14,57172.25
2025-05-15,58161.04
2025-05-16,58730.57
2025-05-19,59221.8
2025-05-20,59494.57
2025-05-21,59666
2025-05-22,59128.49
2025-05-23,58633.24
2025-05-26,59953.9
2025-05-27,61107.06
2025-05-28,61073.12
2025-05-29,60699.92
2025-05-30,60549.03
2025-06-02,61680.02
2025-06-03,62527.26
2025-06-04,64003.73
2025-06-05,65212.15
2025-06-06,63967.59
2025-06-09,64037.97
2025-06-10,62694.49
2025-06-11,63608.76
2025-06-12,64963.58
2025-06-13,67107.35
