Day,Portfolio value
2025-04-01,52628.65
2025-04-02,52001.79
2025-04-03,51013.11
2025-04-04,48286.6
2025-04-07,47124.8
2025-04-08,48494.23
2025-04-09,47975.06
2025-04-10,49105.53
2025-04-11,48959.07
2025-04-14,50661.96
2025-04-15,51968.74
2025-04-16,51372.58
2025-04-17,50795.47
2025-04-18,50735.87
2025-04-21,50799.4
2025-04-22,50335.81
2025-04-23,50886.49
2025-04-24,51478.59
2025-04-25,51574.8
2025-04-28,50721.23
2025-04-29,52669.2
2025-04-30,53275.04
2025-05-01,53289.61
2025-05-02,55262.94
2025-05-05,55903.51
2025-05-06,56149.73
2025-05-07,55755.06
2025-05-08,57565.87
2025-05-09,60458.78
2025-05-12,60207.29
2025-05-13,60905.57
2025-05-14,60787.66
2025-05-15,61776.45
2025-05-16,62429.42
2025-05-19,62965.34
2025-05-20,63237.84
2025-05-21,63409.27
2025-05-22,62871.76
2025-05-23,62376.51
2025-05-26,63697.17
2025-05-27,64850.33
2025-05-28,64845.29
2025-05-29,64472.06
2025-05-30,64321.17
2025-06-02,63422.44
2025-06-03,64269.68
2025-06-04,64123.84
2025-06-05,65332.26
2025-06-06,64087.7
2025-06-09,64158.08
2025-06-10,62814.6
2025-06-11,66728.87
2025-06-12,66676.91
2025-06-13,67107.87
